,Duration in Hrs
time_t1,60.0
time_t1_s1,30.0
time_t1_s1_a1,17.000000000000004
time_t1_s1_a2,13.0
time_t1_s1_c1,17.333333333333336
time_t1_s1_c2,22.333333333333332
time_t1_s1_sb1,4.666666666666667
time_t1_s1_sb2,14.666666666666666
time_t1_s1_sb3,10.666666666666666
time_t1_s2,30.0
time_t1_s2_a1,17.000000000000004
time_t1_s2_a2,13.0
time_t1_s2_c1,17.333333333333336
time_t1_s2_c2,22.333333333333332
time_t1_s2_sb1,4.666666666666667
time_t1_s2_sb2,14.666666666666666
time_t1_s2_sb3,10.666666666666666
